offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Office y
1,-0.5327913710000001,1,0,-1.083472678,1,0,0,0,0,1,0,0,0,1.066464053,0.6901907009999999,0.9586344440000001,-0.163486338,-1.452963667,384
1,0.103982869,1,0,1.083472678,1,0,0,0,0,0,1,0,0,-0.896311085,-0.17167380699999998,-1.44728829,-0.163486338,-0.087401025,438
1,0.34745537299999996,1,0,0.79454663,0,1,0,0,0,0,1,0,0,-1.6389827590000001,-1.837945189,-0.218732,-0.163486338,1.551274146,498
1,-0.26434732899999996,1,0,1.227935701,0,1,0,0,0,0,0,0,1,-1.745078712,-0.746250146,-1.9079968980000002,-0.163486338,-0.087401025,405
1,-1.019736379,0,1,-0.79454663,1,0,0,0,0,1,0,0,0,-0.578023225,-0.746250146,0.037217227,-0.163486338,-1.452963667,306
1,-0.713835028,1,0,0.072231512,0,0,0,1,1,0,0,0,0,-2.063366573,-2.125233359,-0.6282507629999999,-0.163486338,0.45882403200000005,352
1,0.416127105,0,1,0.650083607,0,0,0,1,1,0,0,0,0,-1.161550969,-1.033538315,-0.730630454,-0.163486338,0.45882403200000005,521
1,-0.276833098,1,0,0.650083607,0,0,1,0,1,0,0,0,0,-0.47192727100000004,0.402902531,-1.498478135,-0.163486338,1.278161617,416
1,0.8156717259999999,0,1,0.21669453600000002,0,1,0,0,1,0,0,0,0,-0.684119178,0.23052963,-1.600857826,-0.163486338,-0.087401025,588
1,2.46379329,1,0,0.36115755899999996,0,0,1,0,1,0,0,0,0,1.43779989,0.862563602,1.624102434,-0.163486338,-1.452963667,852
1,0.547227684,1,0,1.083472678,0,0,0,1,0,0,1,0,0,-0.684119178,-0.51641961,-0.6282507629999999,-0.163486338,0.18571150399999997,489
1,-0.99476484,1,0,-1.083472678,0,0,0,1,0,1,0,0,0,-0.206687388,-1.033538315,1.931241507,0.842725583,-0.633626082,299
1,-0.55776291,1,0,0.36115755899999996,0,0,1,0,1,0,0,0,0,-0.25973536399999997,0.805105968,-1.652047671,-0.163486338,-0.633626082,378
1,-0.688863489,0,1,-1.083472678,0,0,0,1,0,1,0,0,0,-1.745078712,-2.010318091,-0.116352309,-0.163486338,-0.087401025,358
1,1.5398463530000002,1,0,1.227935701,1,0,0,0,0,0,0,0,1,1.27865596,0.97747887,0.856254753,-0.163486338,-1.452963667,620
1,-0.869907146,1,0,-0.505620583,0,0,0,1,0,0,0,1,0,-1.0024070379999999,-0.9760806809999999,-0.47468122700000004,-0.163486338,0.45882403200000005,363
1,-0.826206953,0,1,-0.79454663,1,0,0,0,0,1,0,0,0,0.376840356,-0.114216173,1.061014135,0.591172603,1.0050490890000001,337
