offset,PDemand Feature,Day1,Day2,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,School1 y
1,-1.100384725,0,1,0,1,0,0,0,0,0,0,1,-1.214598945,-0.286589075,-1.754427362,-0.163486338,-0.087401025,-1.10015365
1,-1.017654723,0,0,0,0,0,1,0,0,0,0,1,-1.0024070379999999,-0.9760806809999999,-0.47468122700000004,-0.163486338,-0.633626082,-1.0174284759999999
1,-0.001257555,0,0,0,0,0,1,0,0,0,1,0,0.111600473,-0.631334878,1.726482125,-0.163486338,0.18571150399999997,0.022545133
1,-1.230389014,0,1,0,1,0,0,0,0,0,0,1,-1.320694899,-1.090995949,-0.9353898359999999,-0.163486338,-1.452963667,-1.241968233
1,1.854258206,0,0,0,0,1,0,0,0,0,1,0,1.5438958440000001,2.0117162790000003,-0.525871073,-0.163486338,-0.633626082,1.948859886
1,-1.076747582,0,0,0,0,1,0,0,0,0,0,1,0.695128216,0.23052963,1.11220398,-0.163486338,-0.087401025,-1.076517886
1,-0.7812832890000001,0,0,0,0,0,1,0,0,0,1,0,-1.0024070379999999,-1.033538315,-0.372301536,-0.163486338,-0.087401025,-0.261084033
1,-0.556730426,0,0,0,0,0,1,0,0,0,1,0,-0.25973536399999997,-0.861165414,1.1633938259999999,1.345831543,0.18571150399999997,-0.556531081
1,0.7787681790000001,0,1,0,1,0,0,1,0,0,0,0,0.695128216,0.115614362,1.4193430530000002,-0.163486338,1.278161617,0.814343222
1,-0.17853613100000001,0,0,0,0,1,0,0,1,0,0,0,0.9603681000000001,0.517817799,1.11220398,-0.163486338,-0.633626082,-0.17835886
1,2.244271073,0,0,0,0,1,0,1,0,0,0,0,1.384751914,1.72442811,-0.372301536,-0.163486338,-0.633626082,2.0788565869999998
1,1.109688188,0,0,0,0,1,0,1,0,0,0,0,0.80122417,1.207309405,-0.6282507629999999,-0.163486338,-0.087401025,1.086154506
1,-1.06492901,0,1,0,1,0,0,0,1,0,0,0,-0.10059143400000001,-0.401504343,0.44673599,-0.163486338,-0.087401025,-1.04106424
1,2.610646797,0,0,0,0,1,0,1,0,0,0,0,0.32379237899999996,0.97747887,-1.088959372,-0.163486338,0.18571150399999997,2.58702551
1,1.393333909,0,0,0,0,1,0,0,0,1,0,0,1.172560007,1.6095128419999998,-0.5770609179999999,-0.163486338,0.45882403200000005,1.381601554
1,-1.301300444,0,1,0,1,0,0,0,0,0,0,1,-0.8432631079999999,0.173071996,-1.754427362,-0.163486338,-0.087401025,-1.301057642
1,-0.521274711,0,1,0,1,0,0,0,0,0,0,1,-1.108502992,-1.033538315,-0.6282507629999999,-0.163486338,0.45882403200000005,-0.580166845
1,-1.289481873,0,0,0,0,0,1,0,1,0,0,0,-0.578023225,-0.458961977,-0.525871073,-0.163486338,0.45882403200000005,-1.28923976
1,0.483303886,0,0,0,0,0,1,1,0,0,0,0,0.005504519,0.0006990939999999999,-0.116352309,-0.163486338,0.73193656,0.49526041
1,-0.6040047129999999,0,1,0,1,0,0,0,0,0,0,1,-0.312783341,-0.573877244,0.344356299,-0.163486338,0.18571150399999997,-0.615620491
1,0.116928163,1,0,1,0,0,0,0,0,0,0,1,1.066464053,0.805105968,0.7026852170000001,-0.163486338,0.45882403200000005,0.093452424
